94908KDBQ DBQ20050501000009505/01/05 00:00:49  5-MIN KDBQ 010600Z 22003KT 10SM CLR 01/M02 A2999 1010 85 -400 220/03 RMK AO2
94908KDBQ DBQ20050501000509505/01/05 00:05:31  5-MIN KDBQ 010605Z 22003KT 10SM CLR 01/M02 A2999 1010 85 -400 220/03 RMK AO2
94908KDBQ DBQ20050501001009505/01/05 00:10:31  5-MIN KDBQ 010610Z 22003KT 10SM CLR 00/M02 A2999 1020 88 -500 210/03 RMK AO2
94908KDBQ DBQ20050501001509505/01/05 00:15:32  5-MIN KDBQ 010615Z 22003KT 10SM CLR 00/M02 A2999 1020 85 -500 220/03 RMK AO2
94908KDBQ DBQ20050501002009405/01/05 00:20:31  5-MIN KDBQ 010620Z 22003KT 9SM CLR 00/M02 A2998 1020 85 -500 220/03 RMK AO2
94908KDBQ DBQ20050501002509405/01/05 00:25:31  5-MIN KDBQ 010625Z 21003KT 9SM CLR 00/M02 A2998 1020 85 -500 210/03 RMK AO2
94908KDBQ DBQ20050501003009505/01/05 00:30:31  5-MIN KDBQ 010630Z 22004KT 9SM CLR M01/M03 A2998 1020 85 -500 210/04 RMK AO2
94908KDBQ DBQ20050501003509505/01/05 00:35:31  5-MIN KDBQ 010635Z 21004KT 9SM CLR M01/M03 A2998 1020 85 -500 210/04 RMK AO2
94908KDBQ DBQ20050501004009805/01/05 00:40:31  5-MIN KDBQ 010640Z 22004KT 9SM FEW110 M01/M03 A2998 1020 85 -500 220/04 RMK AO2
94908KDBQ DBQ20050501004509805/01/05 00:45:31  5-MIN KDBQ 010645Z 23005KT 8SM SCT100 M01/M02 A2998 1030 88 -500 220/05 RMK AO2
94908KDBQ DBQ20050501005011405/01/05 00:50:31  5-MIN KDBQ 010650Z 23005KT 8SM SCT090 00/M02 A2998 1030 85 -500 220/05 RMK AO2 SLP159 T00001022
94908KDBQ DBQ20050501005512305/01/05 00:55:31  5-MIN KDBQ 010655Z 23005KT 8SM SCT090 BKN110 M01/M02  A2998 1030 88 -500 230/05 RMK AO2 SLP160 T10061022
94908KDBQ DBQ20050501010010605/01/05 01:00:31  5-MIN KDBQ 010700Z 23004KT 8SM SCT095 BKN120 M01/M02  A2998 1030 88 -500 230/04 RMK AO2
94908KDBQ DBQ20050501010510605/01/05 01:05:31  5-MIN KDBQ 010705Z 23004KT 8SM SCT095 BKN110 M01/M02  A2998 1030 88 -500 230/04 RMK AO2
94908KDBQ DBQ20050501011010505/01/05 01:10:31  5-MIN KDBQ 010710Z 22004KT 9SM BKN095 BKN120 00/M02  A2998 1030 85 -500 220/04 RMK AO2
94908KDBQ DBQ20050501011510605/01/05 01:15:31  5-MIN KDBQ 010715Z 22005KT 9SM SCT095 SCT120 M01/M02  A2998 1030 88 -500 220/05 RMK AO2
94908KDBQ DBQ20050501012010605/01/05 01:20:31  5-MIN KDBQ 010720Z 22004KT 8SM FEW070 SCT110 M01/M03  A2997 1030 85 -500 220/04 RMK AO2
94908KDBQ DBQ20050501012510605/01/05 01:25:31  5-MIN KDBQ 010725Z 22004KT 7SM FEW070 SCT110 M01/M03  A2997 1030 85 -500 220/04 RMK AO2
94908KDBQ DBQ20050501013010605/01/05 01:30:31  5-MIN KDBQ 010730Z 22004KT 8SM FEW070 SCT100 M01/M02  A2997 1030 88 -500 220/04 RMK AO2
94908KDBQ DBQ20050501013510605/01/05 01:35:31  5-MIN KDBQ 010735Z 22004KT 9SM SCT070 BKN100 M01/M02  A2997 1030 88 -500 220/04 RMK AO2
94908KDBQ DBQ20050501014010005/01/05 01:40:31  5-MIN KDBQ 010740Z 22005KT 10SM BKN070 M01/M02 A2997  1030 88 -500 220/05 RMK AO2
94908KDBQ DBQ20050501014510705/01/05 01:45:31  5-MIN KDBQ 010745Z 24005KT 10SM FEW050 BKN070 M01/M02  A2998 1030 88 -500 230/05 RMK AO2
94908KDBQ DBQ20050501015012405/01/05 01:50:31  5-MIN KDBQ 010750Z 25005KT 10SM SCT050 BKN070 M01/M03  A2998 1020 88 -600 240/05 RMK AO2 SLP161 T10111028
94908KDBQ DBQ20050501015512405/01/05 01:55:31  5-MIN KDBQ 010755Z 26006KT 10SM BKN050 OVC070 M01/M03  A2998 1030 88 -600 250/06 RMK AO2 SLP159 T10111028
94908KDBQ DBQ20050501020011305/01/05 02:00:31  5-MIN KDBQ 010800Z 23004KT 10SM SCT050 BKN065 OVC080  00/M02 A2998 1030 85 -500 230/04 RMK AO2
94908KDBQ DBQ20050501020511305/01/05 02:05:31  5-MIN KDBQ 010805Z 23004KT 10SM SCT050 SCT065 OVC080  00/M02 A2997 1030 88 -500 230/04 RMK AO2
94908KDBQ DBQ20050501021010605/01/05 02:10:31  5-MIN KDBQ 010810Z 23004KT 10SM BKN050 OVC075 01/M02  A2997 1030 85 -400 230/04 RMK AO2
94908KDBQ DBQ20050501021510605/01/05 02:15:31  5-MIN KDBQ 010815Z 24006KT 10SM BKN050 OVC075 01/M02  A2997 1030 82 -300 240/06 RMK AO2
94908KDBQ DBQ20050501022010605/01/05 02:20:31  5-MIN KDBQ 010820Z 25009KT 10SM BKN050 OVC080 02/M02  A2997 1030 78 -300 240/09 RMK AO2
94908KDBQ DBQ20050501022511305/01/05 02:25:31  5-MIN KDBQ 010825Z 25011KT 10SM FEW047 SCT060 OVC080  02/M01 A2997 1030 78 -200 250/11 RMK AO2
94908KDBQ DBQ20050501023010605/01/05 02:30:31  5-MIN KDBQ 010830Z 25010KT 10SM FEW047 OVC080 03/M01  A2997 1030 75 -100 250/10 RMK AO2
94908KDBQ DBQ20050501023510605/01/05 02:35:31  5-MIN KDBQ 010835Z 25010KT 10SM FEW047 OVC080 03/M01  A2998 1020 79 -100 250/10 RMK AO2
94908KDBQ DBQ20050501024010605/01/05 02:40:31  5-MIN KDBQ 010840Z 24009KT 10SM FEW060 OVC080 03/M01  A2998 1030 79 -100 240/09 RMK AO2
94908KDBQ DBQ20050501024510605/01/05 02:45:31  5-MIN KDBQ 010845Z 24009KT 10SM SCT070 OVC085 03/M01  A2998 1020 79 -100 240/09 RMK AO2
94908KDBQ DBQ20050501025012905/01/05 02:50:31  5-MIN KDBQ 010850Z 25009KT 10SM SCT060 OVC085 03/M01  A2998 1030 79 -100 250/09 RMK AO2 SLP158 T00281006 58008
94908KDBQ DBQ20050501025513605/01/05 02:55:31  5-MIN KDBQ 010855Z 25009KT 10SM FEW050 BKN070 OVC085  03/M01 A2998 1020 79 -100 250/09 RMK AO2 SLP159 T00281006 55004
94908KDBQ DBQ20050501030011205/01/05 03:00:31  5-MIN KDBQ 010900Z 25008KT 10SM SCT050 BKN070 OVC090  03/00 A2998 1020 82 -100 250/08 RMK AO2
94908KDBQ DBQ20050501030511205/01/05 03:05:31  5-MIN KDBQ 010905Z 25008KT 10SM BKN050 BKN065 OVC085  03/00 A2998 1020 82 -100 250/08 RMK AO2
94908KDBQ DBQ20050501031011205/01/05 03:10:31  5-MIN KDBQ 010910Z 25008KT 10SM FEW045 BKN055 OVC080  03/00 A2998 1020 82 -100 250/08 RMK AO2
94908KDBQ DBQ20050501031511205/01/05 03:15:31  5-MIN KDBQ 010915Z 26009KT 10SM FEW048 BKN055 OVC080  03/00 A2998 1020 82 -100 260/09 RMK AO2
94908KDBQ DBQ20050501032011305/01/05 03:20:31  5-MIN KDBQ 010920Z 26010KT 10SM BKN050 BKN065 OVC100  03/M01 A2998 1020 79 -100 260/10 RMK AO2
94908KDBQ DBQ20050501032511305/01/05 03:25:31  5-MIN KDBQ 010925Z 26011KT 10SM SCT055 BKN075 OVC100  03/M01 A2998 1020 79 -100 260/11 RMK AO2
94908KDBQ DBQ20050501033011305/01/05 03:30:31  5-MIN KDBQ 010930Z 27012KT 10SM SCT050 BKN065 OVC100  03/M01 A2998 1020 76 -100 270/12 RMK AO2
94908KDBQ DBQ20050501033513305/01/05 03:35:31  5-MIN KDBQ 010935Z 28017G21KT 7SM -RA FEW024 BKN047  OVC100 03/00 A2999 1020 82 -100 280/17G21 RMK AO2 RAB34 P0000
94908KDBQ DBQ20050501034013505/01/05 03:40:31  5-MIN KDBQ 010940Z 27012G21KT 6SM RA BR SCT022 BKN047  OVC100 02/01 A2999 1020 89 -200 270/12G21 RMK AO2 RAB34 P0000
